SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
346,Yes,48,Male,Secondary,Tenant,Self-Employed,Struggling,10,3,1,1,2,2,2,1,5,4,4,5,4,5,No,,No,,No,,No,,Rarely,,,,4,2,4,4,5,4,5,NA,No,Yes,Residential Area,Not sure,Yes,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
347,Yes,36,Male,Secondary,Tenant,Self-Employed,Struggling,10,1,3,1,1,1,1,1,5,5,3,5,4,2,No,,Yes,Once,No,,Yes,Five,Sometimes,,,,2,1,4,3,1,3,5,NA,No,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
348,Yes,47,Female,Primary,Tenant,Self-Employed,Comfortable,7,1,1,1,1,1,1,1,5,4,5,4,4,1,No,,No,,No,,No,,Never,,,,4,4,1,4,5,4,5,NA,No,Yes,Major Road,Yes,Mixed,Fair,Abandoned/ Uncompleted Building,None,Bus stop/motor park,Moderate
349,Yes,50,Female,Secondary,Tenant,Self-Employed,Just getting by,30,1,1,1,1,1,1,1,5,5,3,3,3,3,No,,No,,No,,No,,Never,,,,4,4,1,1,3,2,3,NA,No,Yes,Major Road,Yes,Yes,Good,None,None,Bus stop/motor park,Busy
350,Yes,40,Male,Tertiary,Tenant,Employed,Comfortable,3,3,5,1,2,5,3,4,3,2,2,2,2,3,No,,Yes,Once,No,,Yes,Once,Sometimes,,,,4,2,4,4,2,2,3,NA,No,No,Footpath,Yes,Mixed,Poor,"Open drainage,Abandoned/ Uncompleted Building",None,None,Moderate
351,Yes,45,Female,Tertiary,Tenant,Self-Employed,Just getting by,1,3,1,2,4,1,2,3,5,4,3,4,2,5,Yes,,Yes,Twice,No,,Yes,Once,Rarely,,,,4,1,3,3,3,4,4,NA,No,Yes,Residential Area,No,No,Poor,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
352,Yes,41,Female,Tertiary,Tenant,Self-Employed,Comfortable,3,1,1,1,2,3,2,3,2,3,1,1,2,1,No,,No,,No,,No,,Never,,,,1,1,2,3,2,3,3,NA,Yes,No,Residential Area,No,Yes,Good,"Open drainage,Abandoned/ Uncompleted Building",Community gate,Bus stop/motor park,Busy
353,Yes,55,Female,Tertiary,Tenant,Self-Employed,Struggling,20,3,4,2,1,2,3,4,4,3,4,3,4,2,Yes,,No,,Yes,,No,,Sometimes,,,,1,2,3,4,2,3,4,NA,Yes,Yes,Residential Area,No,Mixed,Fair, Open drainage,Both,Bus stop/motor park,Moderate
354,Yes,65,Male,Tertiary,Tenant,Self-Employed,Just getting by,5,4,5,2,3,3,1,2,4,3,1,2,1,5,Yes,,Yes,Four,Yes,thrice,Yes,Five,Sometimes,,,,4,2,3,3,3,4,3,NA,No,Yes,Residential Area,No,Mixed,Fair,Open drainage ,Community gate,None,Moderate
355,Yes,21,Female,Tertiary,Tenant,Student,Comfortable,15,1,1,1,1,5,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Sometimes,,,,4,4,4,1,1,1,1,NA,No,Yes,Close,Yes,Yes,Fair,Open drainage ,None,None,Moderate
356,Yes,29,Male,Tertiary,Tenant,Employed,Just getting by,1,1,1,5,5,5,1,1,5,5,3,3,3,3,No,,No,,No,,No,,Rarely,,,,3,3,3,4,4,4,4,NA,Yes,Yes,Alleyway,Yes,Yes,Good,Open drainage ,None,None,Moderate
357,Yes,27,Male,Primary,Tenant,Self-Employed,Struggling,10,1,3,1,1,2,3,2,5,4,4,5,4,4,No,,No,,No,,No,,Sometimes,,,,1,2,3,4,4,3,3,NA,Yes,Not sure,Alleyway,No,No,Poor,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Busy
358,Yes,46,Female,Tertiary,Tenant,Self-Employed,Comfortable,1,2,3,3,3,2,1,1,5,4,4,5,4,3,No,,Yes,,No,,Yes,,Often,,,,3,4,4,2,2,2,2,NA,Not sure,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",None,Bars/viewing centres,Busy
359,Yes,25,Female,Tertiary,Tenant,Employed,Comfortable,1,1,2,1,2,1,1,2,5,4,2,3,1,5,No,,Yes,,No,,No,,Rarely,,,,4,1,1,2,3,3,4,NA,Yes, No,Residential Area,No,Mixed,Good,Open drainage ,None,Bus stop/motor park,Busy
360,Yes,37,Female,None,Tenant,Self-Employed,Just getting by,20,1,2,2,1,2,1,2,4,3,4,5,4,5,No,,No,,No,,No,,Rarely,,,,1,1,1,3,4,3,4,NA,Yes,Yes,Residential Area,No,Yes,Good,Open drainage ,Community gate,Bus stop/motor park,Quiet
361,Yes,26,Female,Secondary,Tenant,Employed,Just getting by,1,1,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Often,,,,4,1,4,1,5,5,5,NA,Yes,Yes,Residential Area,No,Yes,Good,Open drainage ,Community gate,Bus stop/motor park,Moderate
362,Yes,65,Female,Primary,Tenant,Self-Employed,Struggling,15,3,1,1,2,1,2,3,5,4,2,3,2,1,No,,No,,No,,Yes,,Often,,,,2,1,3,4,3,4,5,NA,No,Yes,Residential Area,No,Mixed,Good,Open drainage ,None,Bus stop/motor park,Busy
363,Yes,47,Female,Secondary,Tenant,Self-Employed,Struggling,19,2,1,1,1,2,1,2,4,5,1,1,1,5,No,,No,,No,,No,,Sometimes,,,,4,3,4,3,5,3,4,NA,No,Yes,Residential Area,Yes,Mixed,Poor,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Busy
364,Yes,74,Female,Tertiary,Tenant,Unemployed,Comfortable,4,2,3,1,2,2,2,4,3,4,3,3,4,3,No,,No,,No,,No,,Sometimes,,,,2,2,2,2,4,4,5,NA,Yes,No,Residential Area,No,Yes,Good,"Open drainage,Abandoned/ Uncompleted Building",Both,None,Moderate
365,Yes,43,Male,Secondary,Tenant,Self-Employed,Comfortable,15,1,5,1,1,1,1,1,1,2,3,1,5,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,4,5,5,5,NA,Yes,No,Residential Area,No,Yes,Good,"Open drainage,Abandoned/ Uncompleted Building",Community gate,None,Moderate
366,Yes,24,Female,Tertiary,Tenant,Self-Employed,Comfortable,24,1,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Sometimes,,,,4,1,4,1,5,5,5,NA,Yes,Yes,Residential Area,Not sure,Yes,Good,None,None,None,Moderate
367,Yes,44,Female,Primary,Landlord,Self-Employed,Just getting by,17,1,1,1,1,1,1,2,5,4,5,3,3,5,No,,No,,No,,No,,Never,,,,3,2,1,4,2,4,5,NA,Yes,Yes,Residential Area,No,Mixed,Poor,"Open drainage,Abandoned/ Uncompleted Building",Community gate,None,Busy
368,Yes,27,Male,Secondary,Tenant,Self-Employed,Struggling,22,1,1,1,1,1,1,1,5,4,5,5,5,5,No,,Yes,,No,,Yes,,Never,,,,1,2,2,3,4,5,4,NA,Yes,No,Residential Area,No,Yes,Good,"Open drainage,Abandoned/ Uncompleted Building",Both,None,Moderate
369,Yes,23,Female,Tertiary,Tenant,Student,Comfortable,25,5,1,1,1,1,1,1,5,5,5,5,5,5,Yes,,No,,No,,Yes,,Rarely,,,,4,1,1,1,1,5,5,NA,Yes,Yes,Major Road,Yes,Yes,Fair,None,Both,None,Very Busy
370,Yes,61,Male,Secondary,Tenant,Self-Employed,Just getting by,25,3,4,5,5,5,4,4,3,4,1,1,1,1,Yes,,Yes,Six,Yes,Once,Yes,,Very Often,No,,Did not think anything would be done ,2,1,1,1,3,1,1,NA,No,Yes,Residential Area,No,Yes,Fair,Litter,None,None,Moderate
371,Yes,41,Male,Tertiary,Tenant,Self-Employed,Just getting by,4,2,1,1,1,1,1,1,5,5,3,2,1,1,No,,No,,No,,No,,Rarely,,,,3,3,1,2,5,5,5,NA,No,No,Residential Area,Yes,Yes,Fair,Litter,None,None,Moderate
372,Yes,64,Male,None,Landlord,Self-Employed,Just getting by,40,3,2,1,2,1,5,3,5,5,3,2,1,1,No,,No,,No,,No,,Rarely,,,,1,2,1,1,3,2,4,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,Litter,None,None,Moderate
373,Yes,67,Female,Primary,Landlord,Self-Employed,Comfortable,60,1,1,2,3,1,1,1,5,5,4,3,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,5,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Litter,None,None,Moderate
374,Yes,32,Female,Tertiary,Tenant,Self-Employed,Just getting by,7,1,1,1,1,1,1,1,5,5,1,1,1,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Fair,None,Community gate,None,Moderate
375,Yes,24,Male,Secondary,Tenant,Self-Employed,Just getting by,10,1,1,1,2,1,1,1,1,1,3,2,1,5,No,,No,,No,,No,,Rarely,,,,3,1,1,1,4,5,5,NA,No,Yes,Residential Area,No,Mixed,Fair,None,Community gate,None,Moderate
376,Yes,30,Female,Tertiary,Landlord,Self-Employed,Comfortable,5,2,1,1,1,1,1,1,5,5,4,3,4,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,4,4,NA,Yes,Yes,Residential Area,No,Mixed,Fair,None,Community gate,None,Moderate
377,Yes,21,Female,Tertiary,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,1,2,1,5,No,,No,,No,,No,,Never,,,,4,1,1,1,3,2,4,NA,Yes,Yes,Residential Area,No,Mixed,Fair,None,Community gate,None,Moderate
378,Yes,60,Female,Primary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,1,1,1,1,1,3,4,2,5,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,4,4,NA,No,Yes,Footpath,Yes,Mixed,Fair,Litter,None,None,Quiet
379,Yes,44,Female,Secondary,Tenant,Self-Employed,Just getting by,4,1,1,1,2,1,1,1,5,5,4,3,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,3,NA,No,Yes,Residential Area,Not sure,Mixed,Fair,Litter,None,None,Moderate
380,Yes,61,Male,None,Tenant,Self-Employed,Just getting by,43,1,2,2,1,1,1,1,5,5,1,1,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Residential Area,No,Yes,Fair,Litter,None,None,Quiet
381,Yes,19,Female,Tertiary,Tenant,Student,Just getting by,19,1,1,3,2,1,1,1,5,5,4,4,3,2,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,5,3,NA,No,No,Residential Area,Yes,Yes,Fair,Litter,None,None,Quiet
382,Yes,80,Male,Tertiary,Tenant,Self-Employed,Comfortable,45,1,1,1,1,2,1,1,5,5,3,2,3,4,No,,No,,No,,No,,Rarely,,,,1,1,1,4,3,4,3,NA,Yes,No,Residential Area,Yes,Yes,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
383,Yes,63,Female,None,Tenant,Self-Employed,Comfortable,10,1,1,1,1,2,1,1,5,5,5,4,4,5,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,4,3,NA,No,Yes,Residential Area,No,Yes,Fair,None,Community gate,Bus stop/motor park,Busy
384,Yes,49,Male,Secondary,Tenant,Self-Employed,Comfortable,49,1,1,1,1,2,1,1,5,5,4,2,3,5,No,,No,,No,,No,,Rarely,,,,4,1,1,3,4,3,5,NA,No,No,Residential Area,No,Mixed,Fair,None,Community gate,Bus stop/motor park,Busy
385,Yes,23,Male,Secondary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,5,1,2,1,2,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,5,5,NA,No,No,Residential Area,No,Mixed,Fair,None,Community gate,"Major Market, Bus stop/motor park",Very Busy
386,Yes,50,Female,Secondary,Tenant,Self-Employed,Comfortable,10,2,3,1,2,1,2,3,1,1,1,1,1,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Residential Area,No,Yes,Fair,None,Community gate,Bus stop/motor park,Very Busy
387,Yes,21,Female,Secondary,Tenant,Self-Employed,Struggling,5,1,1,1,1,1,2,1,5,5,4,3,4,5,No,,No,,No,,No,,Sometimes,,,,4,1,1,1,1,1,2,NA,No,No,Residential Area,No,Yes,Fair,None,Community gate,Bus stop/motor park,Busy
388,Yes,52,Female,Secondary,Tenant,Self-Employed,Comfortable,28,1,2,2,1,1,1,1,4,4,4,3,4,3,No,,No,,No,,No,,Rarely,,,,4,1,1,4,5,4,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Abandoned/ Uncompleted Building,Community gate ,Bars/viewing centres,Moderate
389,Yes,50,Male,Secondary,Landlord,Self-Employed,Just getting by,50,3,2,2,1,2,1,1,5,5,1,1,2,2,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,3,3,NA,No,No,Close,No,Mixed,Fair,Litter,Community gate ,Bars/viewing centres,Moderate
390,Yes,42,Male,Primary,Tenant,Self-Employed,Just getting by,20,1,1,1,2,1,2,3,5,5,2,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,3,2,NA,No,Yes,Residential Area,Not sure,Yes,Fair,"Litter, Open drainage",None,Bus stop/motor park,Moderate
391,Yes,67,Female,None,Tenant,Self-Employed,Comfortable,15,3,1,1,1,1,2,1,5,5,1,2,2,2,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,2,1,NA,No,Yes,Residential Area,No,Yes,Fair,"Litter, Open drainage",None,Bus stop/motor park,Moderate
392,Yes,38,Male,Secondary,Tenant,Self-Employed,Comfortable,16,1,1,1,1,1,1,1,3,4,2,1,3,2,No,,No,,No,,No,,Rarely,,,,4,1,1,4,3,2,4,NA,No,No,Residential Area,No,No,Fair,"Litter, Open drainage",None,Bars/viewing centres,Moderate
393,Yes,26,Male,Tertiary,Tenant,Self-Employed,Comfortable,1,4,1,1,2,1,2,3,5,5,1,1,2,1,No,,No,,No,,No,,Rarely,,,,4,2,1,4,4,3,5,NA,No,Yes,Residential Area,No,Yes,Fair,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
394,Yes,37,Male,Secondary,Tenant,Employed,Just getting by,1.5,1,1,2,1,2,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,3,4,NA,No,Yes,Residential Area,No,No,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
395,Yes,40,Male,Secondary,Tenant,Self-Employed,Comfortable,1,2,3,1,1,1,1,1,5,5,1,1,1,3,No,,No,,No,,No,,Rarely,,,,4,1,1,4,3,1,2,NA,No,Yes,Residential Area,No,Yes,Fair,Litter,None,Bus stop/motor park,Moderate
396,Yes,33,Male,Tertiary,Tenant,Self-Employed,Comfortable,6,1,1,4,5,5,1,1,5,5,1,3,3,2,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,3,4,NA,No,Yes,Residential Area,No,Mixed,Good,Litter,Community gate ,Major market,Moderate
397,Yes,45,Male,Secondary,Tenant,Self-Employed,Comfortable,25,2,2,1,1,2,1,1,5,5,3,2,3,2,No,,No,,No,,No,,Rarely,,,,4,1,1,4,3,4,5,NA,No,Yes,Residential Area,Yes,No,Fair,Open drainage,None,Bus stop/motor park,Moderate
398,Yes,43,Female,Secondary,Tenant,Self-Employed,Comfortable,14,1,1,3,5,3,1,1,5,5,4,3,4,3,No,,No,,No,,No,,Rarely,,,,4,4,4,4,1,1,2,NA,No,Yes,Residential Area,No,No,Fair,Open drainage,None,Bars/viewing centres,Moderate
399,Yes,40,Male,Secondary,Tenant,Self-Employed,Comfortable,40,1,1,1,1,2,1,1,1,1,2,3,4,2,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,1,2,NA,No,No,Alleyway,No,No,Poor,None,None,Bars/viewing centres,Quiet
400,Yes,37,Male,Secondary,Tenant,Self-Employed,Just getting by,7,2,5,1,1,2,1,1,1,1,1,1,3,1,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,3,4,NA,No,Yes,Residential Area,Yes,No,Fair,Open drainage,None,Bus stop/motor park,Moderate
401,Yes,55,Female,None,Tenant,Self-Employed,Comfortable,25,5,4,1,1,2,1,1,5,5,3,2,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,1,2,NA,No,Yes,Residential Area,No,Yes,Fair,"Litter, Open drainage",Community gate ,None,Moderate
402,Yes,58,Male,Secondary,Tenant,Self-Employed,Comfortable,46,1,1,1,1,2,1,1,5,5,3,2,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,1,1,NA,No,Yes,Residential Area,Yes,No,Fair,"Litter, Open drainage",Community gate ,Bus stop/motor park,Quiet
403,Yes,20,Male,Tertiary,Tenant,Self-Employed,Comfortable,8,4,3,2,4,3,4,3,2,4,3,4,2,3,No,,No,,No,,No,,Rarely,,,,4,3,4,2,1,2,3,NA,No,No,Residential Area,Yes,Yes,Fair,Litter,Community gate ,None,Quiet
404,Yes,22,Male,Secondary,Tenant,Employed,Comfortable,15,1,1,1,1,2,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,3,NA,No,No,Residential Area,No,Yes,Fair,"Litter, Open drainage",Community gate ,None,Moderate
405,Yes,40,Male,Secondary,Tenant,Self-Employed,Comfortable,40,1,1,1,1,2,1,1,5,5,4,3,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,2,2,NA,No,Yes,Residential Area,Yes,No,Fair,Open drainage,Community gate ,None,Busy
406,Yes,55,Male,Secondary,Tenant,Self-Employed,Just getting by,10,2,2,4,5,5,1,1,5,5,4,3,4,3,No,,No,,No,,No,,Rarely,,,,1,1,2,4,1,2,3,NA,Yes,Yes,Residential Area,Yes,No,Fair,"Litter, Open drainage",Community gate ,Major Market,Busy
407,Yes,40,Female,Secondary,Tenant,Self-Employed,Comfortable,3,3,2,1,1,1,1,1,5,5,2,3,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,3,2,4,NA,No,Yes,Residential Area,Yes,Yes,Fair,"Litter, Open drainage",Community gate ,Major Market,Busy
408,Yes,39,Female,Tertiary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,3,2,1,1,1,4,No,,No,,No,,No,,Rarely,,,,4,2,1,2,3,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Vigilante Post,None,Moderate
409,Yes,41,Male,Secondary,Tenant,Self-Employed,Comfortable,25,1,1,5,5,3,1,1,2,3,1,2,1,4,No,,No,,No,,No,,Rarely,,,,1,3,1,4,5,3,3,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,None,Moderate
410,Yes,20,Male,Tertiary,Tenant,Student,Comfortable,1,1,1,3,1,2,1,1,5,5,2,2,2,4,No,,No,,No,,No,,Rarely,,,,2,2,1,4,3,2,1,NA,Yes,No,Close,Yes,No,Fair,"Litter, Open drainage",None,None,Moderate
411,Yes,55,Male,None,Tenant,Employed,Comfortable,1,1,3,1,1,1,1,1,5,5,1,1,2,3,No,,No,,No,,No,,Rarely,,,,1,3,1,4,5,5,5,NA,Yes,No,Close,Yes,No,Fair,"Litter, Open drainage",None,None,Moderate
412,Yes,40,Female,Tertiary,Landlord,Self-Employed,Comfortable,25,1,1,1,1,2,1,1,4,3,3,1,3,1,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,4,NA,Yes,Yes,Residential Area,No,No,Fair,"Litter, Open drainage",Both,Bus stop/motor park,Moderate
413,Yes,30,Female,Secondary,Tenant,Self-Employed,Comfortable,20,1,1,2,1,1,1,1,5,5,3,2,1,5,No,,No,,No,,No,,Rarely,,,,1,4,4,1,5,3,2,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
414,Yes,48,Male,Secondary,Landlord,Self-Employed,Comfortable,30,1,1,1,1,2,1,1,5,5,1,1,2,1,No,,No,,No,,No,,Rarely,,,,4,1,2,1,3,4,4,NA,No,Yes,Residential Area,No,Yes,Fair,Abandoned/ Uncompleted Building,Community gate,Bus stop/motor park,Very Busy
415,Yes,28,Female,Tertiary,Tenant,Self-Employed,Comfortable,5,1,1,1,1,1,1,1,5,5,4,1,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,4,NA,No,Yes,Residential Area,No,Yes,Fair,None,None,Bus stop/motor park,Very Busy
416,Yes,40,Male,Tertiary,Tenant,Self-Employed,Comfortable,4,1,1,1,1,1,1,1,5,5,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,4,4,NA,Yes,Yes,Residential Area,No,Mixed,Fair,None,None,None,Moderate
417,Yes,44,Male,Tertiary,Tenant,Self-Employed,Comfortable,15,1,1,1,1,1,1,1,5,5,4,3,4,5,No,,No,,No,,No,,Rarely,,,,4,2,1,1,3,4,4,NA,No,No,Residential Area,No,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Moderate
418,Yes,35,Male,Tertiary,Tenant,Employed,Comfortable,3,1,1,1,1,1,1,1,4,3,3,4,2,5,No,,No,,No,,No,,Rarely,,,,4,1,1,4,5,4,5,NA,No,Yes,Residential Area,No,Yes,Fair,Open drainage,Both,Bus stop/motor park,Moderate
419,Yes,40,Male,Secondary,Tenant,Self-Employed,Comfortable,5,2,2,1,1,1,1,1,5,5,1,1,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,2,4,NA,No,Yes,Residential Area,No,Yes,Good,Open drainage,Community gate,Bus stop/motor park,Busy
420,Yes,54,Male,Tertiary,Tenant,Self-Employed,Comfortable,10,3,2,1,1,1,1,1,5,5,2,2,2,5,No,,No,,No,,No,,Rarely,,,,1,1,1,2,1,2,1,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
421,Yes,27,Female,Tertiary,Tenant,Self-Employed,Comfortable,1,5,5,2,3,1,4,4,3,4,2,1,2,5,No,,No,,No,,No,,Rarely,,,,1,1,1,4,1,1,1,NA,Yes,No,Residential Area,No,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Moderate
422,Yes,32,Male,Secondary,Tenant,Self-Employed,Comfortable,3,1,1,1,1,1,2,1,4,5,2,2,1,5,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,1,2,NA,No,No,Residential Area,Yes,Yes,Fair,Open drainage,None,Bus stop/motor park,Moderate
423,Yes,45,Male,Secondary,Tenant,Employed,Comfortable,4,2,2,1,1,2,1,1,5,5,5,4,4,5,No,,No,,No,,No,,Rarely,,,,4,1,1,4,2,2,1,NA,No,Yes,Residential Area,No,Yes,Fair,Litter,Community gate,Bus stop/motor park,Moderate
424,Yes,30,Female,Secondary,Tenant,Employed,Comfortable,1,1,1,1,1,1,1,1,3,3,2,1,2,1,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,3,4,NA,Yes,Yes,Residential Area,No,Yes,Fair,Litter,Community gate,Bus stop/motor park,Moderate
425,Yes,37,Female,Secondary,Landlord,Self-Employed,Comfortable,15,3,4,1,1,2,2,2,5,5,4,3,4,5,No,,No,,No,,No,,Rarely,,,,4,1,1,4,2,2,3,NA,No,No,Major Road,No,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Very Busy
426,Yes,48,Female,Secondary,Tenant,Self-Employed,Comfortable,6,4,3,2,2,1,1,1,3,5,1,1,1,3,No,,No,,No,,No,,Rarely,,,,3,2,1,4,3,2,2,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,None,Community gate,Bus stop/motor park,Busy
427,Yes,32,Male,Secondary,Tenant,Self-Employed,Comfortable,14,1,1,1,1,1,1,1,5,5,3,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,4,1,1,2,NA,No,Yes,Residential Area,Yes,No,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
428,Yes,35,Female,Secondary,Tenant,Self-Employed,Comfortable,35,2,1,1,1,1,1,1,5,5,3,3,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,3,4,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Very Busy
429,Yes,40,Female,Secondary,Tenant,Self-Employed,Comfortable,8,1,1,1,1,1,1,1,5,5,1,2,2,4,No,,No,,No,,No,,Rarely,,,,4,2,1,1,3,4,3,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Very Busy
430,Yes,29,Female,Secondary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,5,3,2,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,2,3,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Very Busy
431,Yes,29,Male,Tertiary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,5,3,2,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,3,NA,No,No,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Quiet
